publisher,genre,sum(global_sales)
GT Interactive,Sports,0.7799999999999999
3DO,Shooter,0.77
Aqua Plus,Adventure,0.77
Empire Interactive,Misc,0.77
Enterbrain,Role-Playing,0.77
Infogrames,Action,0.77
Men-A-Vision,Action,0.77
PopCap Games,Puzzle,0.77
Ubisoft Annecy,Fighting,0.77
Zoo Digital Publishing,Action,0.77
BAM! Entertainment,Platformer,0.76
D3Publisher,Adventure,0.76
D3Publisher,Sports,0.76
Gotham Games,Platformer,0.76
Marvelous Interactive,Action,0.76
Natsume,Simulation,0.76
Titus,Racing,0.75
Xseed Games,Role-Playing,0.75
505 Games,Adventure,0.74
Destineer,Action,0.74
Ignition Entertainment,Action,0.74
Gamebridge,Action,0.73
Majesco Entertainment,Shooter,0.73
Interplay,Role-Playing,0.7200000000000001
Infogrames,Adventure,0.72
Marvelous Interactive,Simulation,0.7100000000000001
ASCII Entertainment,Adventure,0.71
Data Age,Action,0.71
Quest,Role-Playing,0.71
Rising Star Games,Fighting,0.71
System 3 Arcade Software,Misc,0.71
SNK Playmore,Fighting,0.7000000000000001
Banpresto,Simulation,0.7
Illusion Softworks,Action,0.7
D3Publisher,Role-Playing,0.6900000000000001
Deep Silver,Misc,0.6900000000000001
Crave Entertainment,Puzzle,0.69
Interplay,Platformer,0.69
Nordic Games,Action,0.69
Eidos Interactive,Adventure,0.68
Empire Interactive,Action,0.68
Playlogic Game Factory,Action,0.68
Titus,Fighting,0.6799999999999999
Home Entertainment Suppliers,Sports,0.67
Idea Factory,Action,0.67
Imagineer,Sports,0.67
Interplay,Sports,0.67
ASC Games,Sports,0.66
Activision Value,Shooter,0.66
DTP Entertainment,Role-Playing,0.66
Funbox Media,Misc,0.66
Interplay,Shooter,0.66
SquareSoft,Sports,0.66
Banpresto,Adventure,0.64
Epoch,Sports,0.64
Rondomedia,Action,0.64
Sting,Role-Playing,0.64
Idea Factory,Role-Playing,0.63
Kemco,Action,0.63
TDK Mediactive,Sports,0.63
Universal Gamex,Action,0.63
Bigben Interactive,Sports,0.62
D3Publisher,Racing,0.62
Deep Silver,Racing,0.62
Destineer,Misc,0.62
Nippon Ichi Software,Fighting,0.62
Play It,Sports,0.62
Takara,Racing,0.62
UFO Interactive,Misc,0.62
Wizard Video Games,Action,0.62
Zoo Games,Racing,0.62
Acquire,Role-Playing,0.61
Deep Silver,Shooter,0.61
Midas Interactive Entertainment,Racing,0.61
Sammy Corporation,Fighting,0.61
Taito,Shooter,0.61
Vivendi Games,Strategy,0.61
Wanadoo,Action,0.6000000000000001
Hudson Entertainment,Misc,0.6
Midas Interactive Entertainment,Shooter,0.6
Prototype,Adventure,0.6
Zoo Digital Publishing,Shooter,0.6
Spike,Role-Playing,0.5900000000000001
Enix Corporation,Simulation,0.59
Mattel Interactive,Puzzle,0.59
Square Enix,Puzzle,0.59
Takara Tomy,Action,0.59
Mindscape,Strategy,0.58
Parker Bros.,Puzzle,0.58
Avanquest,Misc,0.5700000000000001
Banpresto,Sports,0.5700000000000001
Spike,Misc,0.57
Titus,Action,0.57
Gathering of Developers,Racing,0.56
Hasbro Interactive,Racing,0.56
Universal Interactive,Misc,0.56
Warner Bros. Interactive Entertainment,Adventure,0.56
3DO,Fighting,0.55
Enix Corporation,Misc,0.55
Global Star,Shooter,0.55
Infogrames,Fighting,0.55
Microprose,Misc,0.55
Mud Duck Productions,Misc,0.55
Screenlife,Action,0.55
TDK Mediactive,Misc,0.5499999999999999
505 Games,Platformer,0.54
CPG Products,Action,0.54
Mumbo Jumbo,Puzzle,0.54
Nippon Columbia,Action,0.54
Parker Bros.,Platformer,0.54
City Interactive,Adventure,0.53
Destineer,Puzzle,0.53
From Software,Role-Playing,0.53
Ignition Entertainment,Racing,0.53
Unknown,Platformer,0.53
FuRyu,Role-Playing,0.52
Ignition Entertainment,Shooter,0.52
Starfish,Sports,0.52
Victor Interactive,Sports,0.52
Ackkstudios,Action,0.51
FuRyu,Action,0.51
NEC Interchannel,Adventure,0.51
Nippon Ichi Software,Adventure,0.51
PopCap Games,Strategy,0.51
Rondomedia,Simulation,0.51
Answer Software,Action,0.5
DTP Entertainment,Action,0.5
Game Factory,Puzzle,0.5
Hect,Simulation,0.5
Vivendi Games,Fighting,0.5
Gremlin Interactive Ltd,Sports,0.49000000000000005
Fox Interactive,Action,0.49
Marvelous Interactive,Adventure,0.49
Rebellion,Racing,0.49
Rising Star Games,Strategy,0.49
Universal Interactive,Sports,0.49
Human Entertainment,Sports,0.48
N/A,Platformer,0.48
Pack In Soft,Simulation,0.48
Codemasters,Strategy,0.47000000000000003
PQube,Adventure,0.47000000000000003
Play It,Shooter,0.47000000000000003
Zoo Games,Shooter,0.47000000000000003
Activision Blizzard,Action,0.47
Empire Interactive,Fighting,0.47
Fox Interactive,Sports,0.47
LucasArts,Racing,0.47
Mattel Interactive,Sports,0.47
Ultravision,Fighting,0.47
Crave Entertainment,Fighting,0.46
Ignition Entertainment,Misc,0.46
Jaleco,Racing,0.46
SCi,Action,0.46
Zoo Games,Sports,0.46
Avanquest,Action,0.45
SouthPeak Games,Simulation,0.45
