publisher,genre,sum(global_sales)
Devolver Digital,Shooter,0.02
Empire Interactive,Strategy,0.02
Encore,Racing,0.02
Encore,Role-Playing,0.02
Epic Games,Action,0.02
Essential Games,Action,0.02
Focus Multimedia,Misc,0.02
Funsta,Shooter,0.02
GOA,Role-Playing,0.02
Gaga,Shooter,0.02
Gamecock,Strategy,0.02
Ghostlight,Simulation,0.02
Giga,Adventure,0.02
Giza10,Action,0.02
Graphsim Entertainment,Simulation,0.02
GungHo,Adventure,0.02
Hamster Corporation,Simulation,0.02
Happinet,Misc,0.02
HuneX,Adventure,0.02
IE Institute,Action,0.02
Imageworks,Simulation,0.02
Jack of All Games,Shooter,0.02
Kadokawa Games,Simulation,0.02
Kadokawa Shoten,Misc,0.02
Kadokawa Shoten,Simulation,0.02
Kadokawa Shoten,Strategy,0.02
Kaga Create,Adventure,0.02
Karin Entertainment,Misc,0.02
Kemco,Shooter,0.02
King Records,Role-Playing,0.02
Koch Media,Role-Playing,0.02
Lexicon Entertainment,Shooter,0.02
Licensed 4U,Puzzle,0.02
MC2 Entertainment,Shooter,0.02
Mamba Games,Strategy,0.02
Marvelous Games,Adventure,0.02
Masque Publishing,Simulation,0.02
Mastertronic,Misc,0.02
Mastertronic,Sports,0.02
Metro 3D,Fighting,0.02
Micro Cabin,Puzzle,0.02
Midas Interactive Entertainment,Simulation,0.02
Minato Station,Action,0.02
Mirai Shounen,Misc,0.02
Mumbo Jumbo,Sports,0.02
Mumbo Jumbo,Strategy,0.02
Mycom,Action,0.02
Natsume,Platformer,0.02
Neko Entertainment,Action,0.02
Neko Entertainment,Puzzle,0.02
NetRevo,Adventure,0.02
New World Computing,Strategy,0.02
NewKidCo,Platformer,0.02
Nippon Ichi Software,Shooter,0.02
Nobilis,Racing,0.02
Nordic Games,Strategy,0.02
O-Games,Racing,0.02
O3 Entertainment,Puzzle,0.02
P2 Games,Puzzle,0.02
Phoenix Games,Shooter,0.02
PlayV,Misc,0.02
Plenty,Misc,0.02
Quintet,Adventure,0.02
RED Entertainment,Adventure,0.02
Revolution (Japan),Adventure,0.02
Saurus,Action,0.02
Storm City Games,Platformer,0.02
Storm City Games,Strategy,0.02
Sunrise Interactive,Fighting,0.02
Sunrise Interactive,Racing,0.02
System 3 Arcade Software,Puzzle,0.02
System Soft,Adventure,0.02
Taito,Adventure,0.02
Takara,Role-Playing,0.02
Technos Japan Corporation,Sports,0.02
Telegames,Simulation,0.02
Titus,Strategy,0.02
UFO Interactive,Action,0.02
UFO Interactive,Shooter,0.02
ValuSoft,Adventure,0.02
Victor Interactive,Adventure,0.02
Victor Interactive,Misc,0.02
Victor Interactive,Role-Playing,0.02
Views,Action,0.02
Virgin Interactive,Racing,0.02
Virtual Play Games,Sports,0.02
Visco,Shooter,0.02
Vivendi Games,Simulation,0.02
Wanadoo,Racing,0.02
Warashi,Shooter,0.02
Yeti,Fighting,0.02
Zoo Games,Adventure,0.02
Zushi Games,Action,0.02
fonfun,Simulation,0.02
1C Company,Role-Playing,0.01
Ackkstudios,Strategy,0.01
Arc System Works,Role-Playing,0.01
Ascaron Entertainment,Strategy,0.01
Avanquest,Adventure,0.01
Banpresto,Misc,0.01
Blue Byte,Simulation,0.01
Boost On,Adventure,0.01
Broccoli,Role-Playing,0.01
CDV Software Entertainment,Simulation,0.01
Cave,Adventure,0.01
Commseed,Misc,0.01
Creative Core,Misc,0.01
"Destination Software, Inc",Sports,0.01
EON Digital Entertainment,Strategy,0.01
Focus Home Interactive,Action,0.01
Focus Home Interactive,Misc,0.01
Focus Multimedia,Action,0.01
G.Rev,Shooter,0.01
GameMill Entertainment,Puzzle,0.01
Genterprise,Puzzle,0.01
Global A Entertainment,Misc,0.01
Gust,Strategy,0.01
Happinet,Simulation,0.01
HuneX,Action,0.01
Interchannel-Holon,Strategy,0.01
"Interworks Unlimited, Inc.",Sports,0.01
Inti Creates,Action,0.01
Irem Software Engineering,Role-Playing,0.01
Jaleco,Fighting,0.01
Jaleco,Shooter,0.01
Kalypso Media,Role-Playing,0.01
Koch Media,Strategy,0.01
LEGO Media,Action,0.01
LSP Games,Shooter,0.01
Lighthouse Interactive,Simulation,0.01
Liquid Games,Puzzle,0.01
Mastertronic,Racing,0.01
Media Entertainment,Misc,0.01
Michaelsoft,Role-Playing,0.01
N/A,Racing,0.01
Naxat Soft,Misc,0.01
NetRevo,Action,0.01
Nitroplus,Adventure,0.01
Nitroplus,Fighting,0.01
Ongakukan,Simulation,0.01
Otomate,Adventure,0.01
Paradox Development,Simulation,0.01
Piacci,Adventure,0.01
Red Flagship,Action,0.01
SNK Playmore,Role-Playing,0.01
Storm City Games,Action,0.01
Success,Puzzle,0.01
Success,Simulation,0.01
Taito,Fighting,0.01
Takuyo,Adventure,0.01
Titus,Platformer,0.01
TopWare Interactive,Role-Playing,0.01
Trion Worlds,Strategy,0.01
UIG Entertainment,Simulation,0.01
Views,Adventure,0.01
Yacht Club Games,Action,0.01
Yeti,Action,0.01
dramatic create,Action,0.01
dramatic create,Misc,0.01
imageepoch Inc.,Adventure,0.01
