bigram,n,total_sentiment
bloody invisible,1,negative
bloody irritating,1,negative
bloody issue,1,negative
bloody lame,1,negative
bloody liars,1,negative
bloody limited,1,negative
bloody loose,1,negative
bloody loud,1,negative
bloody ludicrous,1,negative
bloody mad,1,negative
bloody mangled,1,negative
bloody massacre,1,negative
bloody messes,1,negative
bloody noise,1,negative
bloody nuisance,1,negative
bloody offensive,1,negative
bloody overkill,1,negative
bloody overrated,1,negative
bloody pain,1,negative
bloody pig,1,negative
bloody pity,1,negative
bloody pointless,1,negative
bloody questionable,1,negative
bloody rejected,1,negative
bloody revolting,1,negative
bloody rocky,1,negative
bloody rollercoaster,1,negative
bloody rude,1,negative
bloody ruin,1,negative
bloody ruined,1,negative
bloody sack,1,negative
bloody sad,1,negative
bloody scam,1,negative
bloody shambles,1,negative
bloody shameful,1,negative
bloody shocking,1,negative
bloody sick,1,negative
bloody skeletons,1,negative
bloody slug,1,negative
bloody splitting,1,negative
bloody steal,1,negative
bloody struggle,1,negative
bloody stumps,1,negative
bloody stupidly,1,negative
bloody suck,1,negative
bloody tedious,1,negative
bloody tired,1,negative
bloody trap,1,negative
bloody trash,1,negative
bloody unable,1,negative
bloody unacceptable,1,negative
bloody unfriendly,1,negative
bloody unstable,1,negative
bloody vibrate,1,negative
bloody violent,1,negative
bloody vomit,1,negative
bloody weak,1,negative
bloody wild,1,negative
bloody wreck,1,negative
bloom dead,1,negative
bloom desert,1,negative
bloom disabled,1,negative
bloom false,1,negative
bloom fuzzy,1,negative
bloom haze,1,negative
bloom hurts,1,negative
bloom issues,1,negative
bloom jeopardy,1,negative
blotchy mess,1,negative
blotchy noises,1,negative
blow annoying,1,negative
blow bug,1,negative
blow carp,1,negative
blow destroy,1,negative
blow dies,1,negative
blow dislike,1,negative
blow drastically,1,negative
blow hack,1,negative
blow infected,1,negative
blow kill,1,negative
blow kills,1,negative
blow overkill,1,negative
blow poor,1,negative
blow repetitive,1,negative
blow rift,1,negative
blow rust,1,negative
blow shame,1,negative
blow stab,1,negative
blundering morons,1,negative
blunt cheap,1,negative
blunt damage,1,negative
blunt difficulty,1,negative
blunt frustrating,1,negative
blunt insults,1,negative
blunt killing,1,negative
blunt manipulation,1,negative
blunt plot,1,negative
blunt sinister,1,negative
blunt slashing,1,negative
blunt stuck,1,negative
blunt stupid,1,negative
blunt unreliable,1,negative
blur banal,1,negative
blur bloody,1,negative
blur blur,1,negative
blur broken,1,negative
blur burn,1,negative
blur dirt,1,negative
blur disable,1,negative
blur distortion,1,negative
blur enemies,1,negative
blur enemy,1,negative
blur ghosting,1,negative
blur glitch,1,negative
blur hell,1,negative
blur horrible,1,negative
blur issues,1,negative
blur kills,1,negative
blur penalty,1,negative
blur plot,1,negative
blur suck,1,negative
blur terrible,1,negative
blur utterly,1,negative
blurred enemies,1,negative
blurred ineffectually,1,negative
blurred irregular,1,negative
blurred messes,1,negative
blurred monotonous,1,negative
blurred smudged,1,negative
blurring issues,1,negative
blurry annoying,1,negative
blurry badly,1,negative
blurry bland,1,negative
blurry bug,1,negative
blurry cheap,1,negative
blurry chunky,1,negative
blurry crap,1,negative
blurry dark,1,negative
blurry darkness,1,negative
blurry disgusting,1,negative
blurry distorted,1,negative
blurry drunk,1,negative
blurry enemies,1,negative
blurry flickering,1,negative
blurry garbage,1,negative
blurry grossly,1,negative
blurry inadequate,1,negative
blurry jittery,1,negative
blurry limited,1,negative
blurry messes,1,negative
blurry messy,1,negative
blurry mist,1,negative
blurry murky,1,negative
blurry poor,1,negative
blurry smudges,1,negative
blurry stuttering,1,negative
blurry trash,1,negative
blurry weird,1,negative
blurry worse,1,negative
blurry zombie,1,negative
blurs annoying,1,negative
bogus horrible,1,negative
bogus rip,1,negative
bogus ripoff,1,negative
bogus shoddy,1,negative
bogus terrible,1,negative
bogus worthless,1,negative
boil damage,1,negative
boiling break,1,negative
boiling insult,1,negative
boiling mad,1,negative
boiling rage,1,negative
boiling waste,1,negative
bomb blow,1,negative
bomb bug,1,negative
bomb bugs,1,negative
bomb cheats,1,negative
bomb crash,1,negative
bomb death,1,negative
bomb delay,1,negative
bomb died,1,negative
bomb disarm,1,negative
bomb enemies,1,negative
bomb enemy,1,negative
bomb explosive,1,negative
bomb falls,1,negative
bomb frustrated,1,negative
bomb hard,1,negative
bomb hates,1,negative
bomb issue,1,negative
bomb kill,1,negative
bomb killed,1,negative
bomb killing,1,negative
bomb needless,1,negative
bomb noises,1,negative
bomb overwhelmingly,1,negative
bomb plot,1,negative
bomb shit,1,negative
bomb snare,1,negative
bomb stole,1,negative
bomb suffer,1,negative
bomb suffers,1,negative
bomb tank,1,negative
bomb toxic,1,negative
bomb uncompetitive,1,negative
bomb worse,1,negative
bombastic disappointment,1,negative
bombastic loud,1,negative
bondage assassin,1,negative
bonkers damage,1,negative
bonkers difficulty,1,negative
bonny puppet,1,negative
bonus attacks,1,negative
bonus boring,1,negative
bonus burns,1,negative
bonus cheating,1,negative
bonus crap,1,negative
bonus crash,1,negative
bonus crashing,1,negative
bonus creeps,1,negative
bonus crippling,1,negative
bonus damaging,1,negative
bonus die,1,negative
bonus enemies,1,negative
bonus fail,1,negative
bonus glitch,1,negative
bonus gripe,1,negative
bonus hazard,1,negative
bonus idle,1,negative
bonus inactive,1,negative
bonus insult,1,negative
bonus irritation,1,negative
bonus joke,1,negative
bonus kills,1,negative
bonus lack,1,negative
bonus lose,1,negative
bonus loss,1,negative
bonus penalty,1,negative
bonus pointless,1,negative
bonus poison,1,negative
bonus repetitive,1,negative
bonus ruins,1,negative
bonus worse,1,negative
bonuses bad,1,negative
bonuses bland,1,negative
bonuses boring,1,negative
bonuses break,1,negative
bonuses difficulty,1,negative
bonuses enemy,1,negative
bonuses expensive,1,negative
bonuses ironically,1,negative
bonuses killing,1,negative
bonuses limited,1,negative
bonuses overkill,1,negative
bonuses sucked,1,negative
bonuses unacceptable,1,negative
bonuses unfinished,1,negative
boom alarm,1,negative
boom buggy,1,negative
boom cons,1,negative
boom damage,1,negative
boom dark,1,negative
boom erase,1,negative
boom fatal,1,negative
boom fearful,1,negative
boom fell,1,negative
boom killed,1,negative
boom lag,1,negative
boom lost,1,negative
boom meaningless,1,negative
boom unwanted,1,negative
boom wack,1,negative
boost bad,1,negative
boost begging,1,negative
boost buckle,1,negative
boost cons,1,negative
boost crap,1,negative
boost difficulty,1,negative
boost dungeon,1,negative
boost enemies,1,negative
boost fails,1,negative
boost fallout,1,negative
boost funny,1,negative
boost glitches,1,negative
boost impossibly,1,negative
boost jerk,1,negative
boost killed,1,negative
boost kills,1,negative
boost lame,1,negative
boost penalty,1,negative
boost ruined,1,negative
boost shame,1,negative
boost slow,1,negative
boost sucker,1,negative
bore annoy,1,negative
bore bored,1,negative
bore bugs,1,negative
bore drag,1,negative
bore hard,1,negative
bore horrible,1,negative
bore repetitive,1,negative
bore sad,1,negative
bore worst,1,negative
bored abused,1,negative
bored annoyance,1,negative
bored annoying,1,negative
bored apathetic,1,negative
bored bore,1,negative
bored boredom,1,negative
bored boring,1,negative
bored crash,1,negative
bored crashed,1,negative
bored damn,1,negative
bored depressed,1,negative
bored desperation,1,negative
bored died,1,negative
bored disaffected,1,negative
bored disappointed,1,negative
bored fall,1,negative
bored frustration,1,negative
bored hate,1,negative
bored helpless,1,negative
bored infuriated,1,negative
bored issues,1,negative
bored killed,1,negative
bored limited,1,negative
bored overwhelmed,1,negative
bored poor,1,negative
bored randomly,1,negative
bored rigid,1,negative
bored rust,1,negative
bored sad,1,negative
bored sick,1,negative
bored sluggish,1,negative
bored spoiled,1,negative
bored sucker,1,negative
bored trashy,1,negative
bored upset,1,negative
bored worse,1,negative
bored worst,1,negative
bored wrong,1,negative
bored yawn,1,negative
boredom awful,1,negative
boredom boring,1,negative
boredom cheating,1,negative
boredom confusion,1,negative
boredom disappointment,1,negative
boredom dumb,1,negative
boredom fall,1,negative
boredom frustrating,1,negative
boredom grind,1,negative
boredom hate,1,negative
boredom hell,1,negative
boredom horrible,1,negative
boredom kill,1,negative
boredom killing,1,negative
boredom sinking,1,negative
boredom struck,1,negative
boredom sunk,1,negative
boredom warning,1,negative
boring abomination,1,negative
boring agonizingly,1,negative
boring aimless,1,negative
boring asinine,1,negative
boring assassin,1,negative
boring assassinate,1,negative
boring assault,1,negative
boring bait,1,negative
boring bitterly,1,negative
boring bizarre,1,negative
boring blind,1,negative
boring blurry,1,negative
boring breaking,1,negative
boring bum,1,negative
boring bust,1,negative
boring caricature,1,negative
boring cartoonish,1,negative
boring chatter,1,negative
boring childish,1,negative
boring conflict,1,negative
boring confused,1,negative
boring convoluted,1,negative
boring crazy,1,negative
boring creepy,1,negative
boring crude,1,negative
boring crush,1,negative
boring cry,1,negative
boring cumbersome,1,negative
boring curses,1,negative
boring cynical,1,negative
boring damn,1,negative
boring deadly,1,negative
boring degrading,1,negative
boring demon,1,negative
boring depression,1,negative
boring desolate,1,negative
boring destruction,1,negative
boring died,1,negative
boring dirt,1,negative
boring dirty,1,negative
boring disappointed,1,negative
boring disappointingly,1,negative
boring disturbing,1,negative
boring doom,1,negative
boring doubt,1,negative
boring downhill,1,negative
boring dragged,1,negative
boring drags,1,negative
boring dreadful,1,negative
boring drones,1,negative
boring dusty,1,negative
boring dwindling,1,negative
boring evasive,1,negative
boring evil,1,negative
boring excruciating,1,negative
boring excruciatingly,1,negative
boring fail,1,negative
boring fall,1,negative
boring fatalistic,1,negative
boring fault,1,negative
boring fell,1,negative
boring fiction,1,negative
boring filth,1,negative
boring flake,1,negative
boring flaws,1,negative
boring flimsy,1,negative
boring freaking,1,negative
boring frustratingly,1,negative
boring fury,1,negative
boring gimmicks,1,negative
boring gimmicky,1,negative
boring gravely,1,negative
boring gross,1,negative
boring grumpy,1,negative
boring hang,1,negative
boring haste,1,negative
boring hated,1,negative
boring heartless,1,negative
boring heck,1,negative
boring hideous,1,negative
boring hideously,1,negative
boring hoard,1,negative
boring horrific,1,negative
boring hypocritical,1,negative
boring idiot,1,negative
boring illusion,1,negative
boring inability,1,negative
boring inaccurate,1,negative
boring inconsistent,1,negative
boring ineffectual,1,negative
boring infuriating,1,negative
boring insufferable,1,negative
boring ironically,1,negative
boring isolated,1,negative
boring issues,1,negative
boring knock,1,negative
boring lags,1,negative
boring lengthy,1,negative
boring lie,1,negative
boring lone,1,negative
boring loses,1,negative
boring loss,1,negative
boring loud,1,negative
boring lousy,1,negative
boring marginal,1,negative
boring massacre,1,negative
boring messy,1,negative
boring moody,1,negative
boring muddy,1,negative
boring murder,1,negative
boring nagging,1,negative
boring nightmarish,1,negative
boring noises,1,negative
boring obtuse,1,negative
boring oddly,1,negative
boring opponent,1,negative
boring oppressive,1,negative
boring ordeal,1,negative
boring overacted,1,negative
boring oversimplified,1,negative
boring overwhelming,1,negative
boring painfull,1,negative
boring panic,1,negative
boring pedantic,1,negative
boring plague,1,negative
boring plight,1,negative
boring pompous,1,negative
boring prison,1,negative
boring profanity,1,negative
boring punch,1,negative
boring puzzling,1,negative
boring rant,1,negative
boring regret,1,negative
boring regretted,1,negative
boring ridiculous,1,negative
boring rigid,1,negative
boring risk,1,negative
boring rut,1,negative
boring sack,1,negative
boring sarcastic,1,negative
boring satirical,1,negative
boring scary,1,negative
boring scramble,1,negative
boring scrap,1,negative
boring setbacks,1,negative
boring shambles,1,negative
boring shocking,1,negative
boring shoddy,1,negative
boring slashing,1,negative
boring slowed,1,negative
boring spiritless,1,negative
boring spoonfed,1,negative
boring stagnant,1,negative
boring stain,1,negative
boring stalemate,1,negative
boring standstill,1,negative
boring strictly,1,negative
boring struggle,1,negative
boring stunt,1,negative
boring stuttering,1,negative
boring suck,1,negative
boring sucks,1,negative
boring tease,1,negative
boring thoughtless,1,negative
boring tired,1,negative
boring tiresome,1,negative
boring trick,1,negative
boring troublesome,1,negative
boring twists,1,negative
boring unable,1,negative
boring unacceptable,1,negative
boring unacceptably,1,negative
boring uncomfortable,1,negative
boring unconvincing,1,negative
boring undercut,1,negative
boring underpowered,1,negative
boring unresolved,1,negative
boring unresponsive,1,negative
boring unsatisfactory,1,negative
boring villian,1,negative
boring vomit,1,negative
boring wasting,1,negative
boring weakness,1,negative
boring whining,1,negative
boring wildly,1,negative
boring wimpy,1,negative
boring worn,1,negative
botch crash,1,negative
bother afraid,1,negative
bother bashing,1,negative
bother blame,1,negative
bother broken,1,negative
bother clash,1,negative
bother crap,1,negative
bother crappy,1,negative
bother crashes,1,negative
bother difficulty,1,negative
bother dirt,1,negative
bother dying,1,negative
bother fleeing,1,negative
bother glitches,1,negative
bother horrible,1,negative
bother hype,1,negative
bother idle,1,negative
bother ignore,1,negative
bother impossible,1,negative
bother incomplete,1,negative
bother issues,1,negative
bother lack,1,negative
bother laggy,1,negative
bother mad,1,negative
bother needlessly,1,negative
bother rail,1,negative
bother recoil,1,negative
bother shame,1,negative
bother stealing,1,negative
bother stuttering,1,negative
bother wasted,1,negative
bother weak,1,negative
bother worthless,1,negative
bothered doubt,1,negative
bothered heck,1,negative
bothered lack,1,negative
bothered messing,1,negative
bothered overpriced,1,negative
bothered relentlessly,1,negative
bothered ruins,1,negative
bothered sadly,1,negative
bothered shame,1,negative
bothered shoddy,1,negative
bothered waste,1,negative
bothering lag,1,negative
bothering miss,1,negative
bothers pathetically,1,negative
bothersome boring,1,negative
bothersome chore,1,negative
bothersome glitches,1,negative
bothersome stuttering,1,negative
bothersome waste,1,negative
boundless greed,1,negative
boycott protest,1,negative
brainless annoyances,1,negative
brainless arrogant,1,negative
brainless attack,1,negative
brainless creep,1,negative
brainless enemy,1,negative
brainless haters,1,negative
brainless helpless,1,negative
brainless massacre,1,negative
brainless moron,1,negative
brainless nonsense,1,negative
brainless pain,1,negative
brainless pathetic,1,negative
brainless poor,1,negative
brainless repetitive,1,negative
brainless rollercoaster,1,negative
brainless slashing,1,negative
brainless thug,1,negative
brainless unrealistic,1,negative
brainless waste,1,negative
brainless worse,1,negative
brainwash blind,1,negative
brainwash enemies,1,negative
brainwash vulnerable,1,negative
brash arrogant,1,negative
brash lethal,1,negative
brash tank,1,negative
brat dirty,1,negative
brat wasting,1,negative
bravado falls,1,negative
brave dungeon,1,negative
brave stupid,1,negative
brave unbelievably,1,negative
brave violent,1,negative
bravery fear,1,negative
bravo blind,1,negative
bravo denounce,1,negative
bravo savage,1,negative
brazen lack,1,negative
brazenly ugly,1,negative
breach dungeon,1,negative
breach kill,1,negative
breach nonsense,1,negative
break beware,1,negative
break bs,1,negative
break bug,1,negative
break burn,1,negative
break chill,1,negative
break complex,1,negative
break cons,1,negative
break cracked,1,negative
break damage,1,negative
break dead,1,negative
break dungeon,1,negative
break enemies,1,negative
break frustrating,1,negative
break hack,1,negative
break hard,1,negative
break heck,1,negative
break hell,1,negative
break interrupt,1,negative
break invisible,1,negative
break issues,1,negative
break lose,1,negative
break object,1,negative
break poorly,1,negative
break rubbish,1,negative
break sad,1,negative
break stale,1,negative
break sucks,1,negative
break terrible,1,negative
break toxic,1,negative
break useless,1,negative
break waste,1,negative
break weak,1,negative
break weaken,1,negative
break worse,1,negative
break wound,1,negative
breakdown infringements,1,negative
breakdown scary,1,negative
breaking assassin,1,negative
breaking atrocity,1,negative
breaking attack,1,negative
breaking aweful,1,negative
breaking blow,1,negative
breaking break,1,negative
breaking broken,1,negative
breaking bs,1,negative
breaking cheat,1,negative
breaking cheating,1,negative
breaking cheesy,1,negative
breaking complaint,1,negative
breaking craziness,1,negative
breaking critical,1,negative
breaking damage,1,negative
breaking defective,1,negative
breaking delay,1,negative
breaking dirt,1,negative
breaking enemies,1,negative
breaking expensive,1,negative
breaking falling,1,negative
breaking flaky,1,negative
breaking freeze,1,negative
breaking freezing,1,negative
breaking funny,1,negative
breaking gripe,1,negative
breaking gripes,1,negative
breaking hacks,1,negative
breaking hangs,1,negative
breaking horrid,1,negative
breaking impossible,1,negative
breaking interruptions,1,negative
breaking loss,1,negative
breaking lousy,1,negative
breaking lure,1,negative
breaking misery,1,negative
breaking monster,1,negative
breaking monstrous,1,negative
breaking murder,1,negative
breaking noises,1,negative
breaking punch,1,negative
breaking rage,1,negative
breaking randomly,1,negative
breaking rants,1,negative
breaking repetitive,1,negative
breaking shortcomings,1,negative
breaking silly,1,negative
breaking sporadic,1,negative
breaking stress,1,negative
breaking stupidity,1,negative
breaking tanks,1,negative
breaking terrible,1,negative
breaking travesties,1,negative
breaking trouble,1,negative
breaking unable,1,negative
breaking unbelievable,1,negative
breaking waste,1,negative
breaking weak,1,negative
breaking worst,1,negative
breaks arbitrary,1,negative
breaks break,1,negative
breaks broken,1,negative
breaks delays,1,negative
breaks freezes,1,negative
breaks hard,1,negative
breaks messing,1,negative
breaks splitting,1,negative
breaks unhelpful,1,negative
breakthrough attack,1,negative
breakthrough sadly,1,negative
breathtaking glitches,1,negative
breathtaking shame,1,negative
breathtaking twists,1,negative
breeze killing,1,negative
bright brash,1,negative
bright burns,1,negative
bright cartoonish,1,negative
bright cloud,1,negative
bright dark,1,negative
bright enemies,1,negative
bright gaudy,1,negative
bright hurts,1,negative
bright intense,1,negative
bright irritating,1,negative
bright losing,1,negative
bright menace,1,negative
bright missed,1,negative
bright mist,1,negative
bright pale,1,negative
bright ruins,1,negative
bright stupid,1,negative
bright weird,1,negative
brilliance downside,1,negative
brilliance fallout,1,negative
brilliance lie,1,negative
brilliant abomination,1,negative
brilliant atrocious,1,negative
brilliant challenging,1,negative
brilliant chaos,1,negative
brilliant dungeon,1,negative
brilliant enemies,1,negative
brilliant glitches,1,negative
brilliant impossible,1,negative
brilliant insane,1,negative
brilliant lag,1,negative
brilliant noise,1,negative
brilliant sarcasm,1,negative
brilliant twist,1,negative
brilliant uprising,1,negative
brilliant zombie,1,negative
brilliantly bizarre,1,negative
brilliantly challenging,1,negative
brilliantly chaotic,1,negative
brilliantly cheesy,1,negative
brilliantly evil,1,negative
brilliantly unpredictable,1,negative
brisk funny,1,negative
broke bored,1,negative
broke breaks,1,negative
broke bug,1,negative
broke bugs,1,negative
broke bum,1,negative
broke dark,1,negative
broke doom,1,negative
broke excuse,1,negative
broke falling,1,negative
broke fallout,1,negative
broke hard,1,negative
broke hell,1,negative
broke invasive,1,negative
broke knife,1,negative
broke loot,1,negative
broke lose,1,negative
broke perverted,1,negative
broke poor,1,negative
broke raging,1,negative
broke rip,1,negative
broke stealing,1,negative
broke stuck,1,negative
broke stupid,1,negative
broke tired,1,negative
broke toxic,1,negative
broke unable,1,negative
broke worse,1,negative
broken allegations,1,negative
broken annoying,1,negative
broken assault,1,negative
broken attack,1,negative
broken attacks,1,negative
broken beware,1,negative
broken bias,1,negative
broken bitter,1,negative
broken bitterly,1,negative
broken bloody,1,negative
broken blur,1,negative
broken bored,1,negative
broken boredom,1,negative
broken bs,1,negative
broken cancerous,1,negative
broken chaos,1,negative
broken chaotic,1,negative
broken cheating,1,negative
broken cheesy,1,negative
broken chore,1,negative
broken clumsy,1,negative
broken collusion,1,negative
broken complained,1,negative
broken complicated,1,negative
broken confusing,1,negative
broken convoluted,1,negative
broken crazy,1,negative
broken crippled,1,negative
broken cry,1,negative
broken damages,1,negative
broken damned,1,negative
broken dark,1,negative
broken defensive,1,negative
broken devil,1,negative
broken die,1,negative
broken died,1,negative
broken difficult,1,negative
broken dire,1,negative
broken disabled,1,negative
broken disappointed,1,negative
broken disaster,1,negative
broken doom,1,negative
broken drips,1,negative
broken dungeons,1,negative
broken dying,1,negative
broken expensive,1,negative
broken fake,1,negative
broken fall,1,negative
broken fallen,1,negative
broken false,1,negative
broken falsely,1,negative
broken fear,1,negative
broken fell,1,negative
broken filth,1,negative
broken filthy,1,negative
broken flickering,1,negative
broken foe,1,negative
broken frustratingly,1,negative
broken frustration,1,negative
broken gimmicks,1,negative
broken greedy,1,negative
broken grind,1,negative
broken haze,1,negative
broken heck,1,negative
broken hollow,1,negative
broken hopelessly,1,negative
broken horrific,1,negative
broken idiot,1,negative
broken idiotic,1,negative
broken idle,1,negative
broken imbalance,1,negative
broken inactive,1,negative
broken incompatible,1,negative
broken inconsistent,1,negative
broken inferior,1,negative
broken infuriating,1,negative
broken invasive,1,negative
broken jam,1,negative
broken kills,1,negative
broken knife,1,negative
broken lacking,1,negative
broken lacks,1,negative
broken lagging,1,negative
broken laughable,1,negative
broken lie,1,negative
broken lifeless,1,negative
broken lose,1,negative
broken lousy,1,negative
broken mediocre,1,negative
broken messed,1,negative
broken mindless,1,negative
broken miserable,1,negative
broken nauseating,1,negative
broken nervous,1,negative
broken object,1,negative
broken offensive,1,negative
broken opponent,1,negative
broken overwhelming,1,negative
broken painfully,1,negative
broken parody,1,negative
broken pathetic,1,negative
broken pathetically,1,negative
broken plot,1,negative
broken pretentious,1,negative
broken puppets,1,negative
broken rage,1,negative
broken reckless,1,negative
broken refuses,1,negative
broken regret,1,negative
broken retreat,1,negative
broken rift,1,negative
broken rot,1,negative
broken rough,1,negative
broken rude,1,negative
broken ruined,1,negative
broken ruinous,1,negative
broken ruins,1,negative
broken sack,1,negative
broken severe,1,negative
broken shabby,1,negative
broken sham,1,negative
broken shameful,1,negative
broken sick,1,negative
broken sink,1,negative
broken slave,1,negative
broken slug,1,negative
broken sluggish,1,negative
broken sneaky,1,negative
broken sneer,1,negative
broken split,1,negative
broken spoils,1,negative
broken strict,1,negative
broken strike,1,negative
broken stupidly,1,negative
broken stuttered,1,negative
broken stutters,1,negative
broken tired,1,negative
broken tiresome,1,negative
broken trap,1,negative
broken travesty,1,negative
broken trivial,1,negative
broken unbelievable,1,negative
broken underpowered,1,negative
broken unreliable,1,negative
broken unsupported,1,negative
broken untested,1,negative
broken unusable,1,negative
broken unworkable,1,negative
broken warp,1,negative
broken wasted,1,negative
broken weird,1,negative
broken worn,1,negative
broken worse,1,negative
broken wreck,1,negative
broken wrong,1,negative
bruised scarred,1,negative
bruises terrible,1,negative
brusque impatient,1,negative
brutal attack,1,negative
brutal attacks,1,negative
brutal barbaric,1,negative
brutal choke,1,negative
brutal choppy,1,negative
brutal clunky,1,negative
brutal cold,1,negative
brutal crashes,1,negative
brutal crime,1,negative
brutal criminal,1,negative
brutal darkness,1,negative
brutal dictator,1,negative
brutal difficult,1,negative
brutal difficulties,1,negative
brutal dungeon,1,negative
brutal falling,1,negative
brutal flaw,1,negative
brutal greedy,1,negative
brutal gritty,1,negative
brutal illusion,1,negative
brutal injury,1,negative
brutal injustice,1,negative
brutal killing,1,negative
brutal knife,1,negative
brutal lag,1,negative
brutal limitation,1,negative
brutal maniac,1,negative
brutal merciless,1,negative
brutal mess,1,negative
brutal oppression,1,negative
brutal prison,1,negative
brutal rampage,1,negative
brutal relentless,1,negative
brutal shame,1,negative
brutal stuttering,1,negative
brutal terrible,1,negative
brutal trap,1,negative
brutal tyrant,1,negative
brutal ugly,1,negative
brutality horde,1,negative
brutally aggravating,1,negative
brutally butcher,1,negative
brutally castigate,1,negative
brutally crap,1,negative
brutally crushed,1,negative
brutally disappointing,1,negative
brutally expensive,1,negative
brutally failed,1,negative
brutally fake,1,negative
brutally frustrated,1,negative
brutally harsh,1,negative
brutally impossible,1,negative
brutally insane,1,negative
brutally killing,1,negative
brutally kills,1,negative
brutally lacking,1,negative
brutally messed,1,negative
brutally neglect,1,negative
brutally poor,1,negative
brutally pugnacious,1,negative
brutally punish,1,negative
brutally punitive,1,negative
brutally refuse,1,negative
brutally repress,1,negative
brutally ridiculously,1,negative
brutally ripped,1,negative
brutally ruined,1,negative
brutally sad,1,negative
brutally sadly,1,negative
brutally slaughtered,1,negative
brutally smear,1,negative
brutally steep,1,negative
brutally stupid,1,negative
brutally sued,1,negative
brutally terrible,1,negative
brutally unfinished,1,negative
brutally unreliable,1,negative
brutally victimize,1,negative
brutally violent,1,negative
brute enemy,1,negative
brute impossible,1,negative
brute repetitive,1,negative
brute rogue,1,negative
brute zombie,1,negative
brutish enemies,1,negative
brutish enemy,1,negative
brutish messy,1,negative
brutish savage,1,negative
bs attacks,1,negative
bs bad,1,negative
bs barbarian,1,negative
bs blindside,1,negative
bs cheap,1,negative
bs cliche,1,negative
bs cons,1,negative
bs crap,1,negative
bs deceptive,1,negative
bs die,1,negative
bs difficult,1,negative
bs dull,1,negative
bs enemy,1,negative
bs false,1,negative
bs freezing,1,negative
bs frustration,1,negative
bs garbage,1,negative
bs gimmicky,1,negative
bs glitch,1,negative
bs glitches,1,negative
bs gossip,1,negative
bs greedy,1,negative
bs grind,1,negative
bs hard,1,negative
bs hassle,1,negative
bs haters,1,negative
bs horrible,1,negative
bs infamy,1,negative
bs joke,1,negative
bs kill,1,negative
bs lack,1,negative
bs lose,1,negative
bs lying,1,negative
bs missed,1,negative
bs misses,1,negative
bs monster,1,negative
bs rip,1,negative
bs ruin,1,negative
bs ruins,1,negative
bs sadly,1,negative
bs sick,1,negative
bs smelly,1,negative
bs tank,1,negative
bs tanks,1,negative
bs terrible,1,negative
bs tired,1,negative
bs toxic,1,negative
bs trap,1,negative
bs unacceptable,1,negative
bs unnecessary,1,negative
bs useless,1,negative
bs utterly,1,negative
bs warning,1,negative
bs wasted,1,negative
bs worse,1,negative
bug abuses,1,negative
bug annoyance,1,negative
bug annoying,1,negative
bug boring,1,negative
bug broken,1,negative
bug bum,1,negative
bug cheap,1,negative
bug complaint,1,negative
bug crap,1,negative
bug crappy,1,negative
bug cripples,1,negative
bug critical,1,negative
bug death,1,negative
bug defect,1,negative
bug destroy,1,negative
bug died,1,negative
bug difficulty,1,negative
bug disappointing,1,negative
bug doubt,1,negative
bug downfall,1,negative
bug drastically,1,negative
bug dumb,1,negative
bug dungeon,1,negative
bug dungeons,1,negative
bug dust,1,negative
bug err,1,negative
bug fall,1,negative
bug flawed,1,negative
bug freak,1,negative
bug freeze,1,negative
bug freezing,1,negative
bug frustrated,1,negative
bug frustrating,1,negative
bug frustration,1,negative
bug funny,1,negative
bug grief,1,negative
bug hard,1,negative
bug hate,1,negative
bug ignore,1,negative
bug illegal,1,negative
bug inconsistent,1,negative
bug invisible,1,negative
bug ironic,1,negative
bug joke,1,negative
bug knock,1,negative
bug lags,1,negative
bug limited,1,negative
bug lose,1,negative
bug losing,1,negative
bug lost,1,negative
bug mad,1,negative
bug messing,1,negative
bug monster,1,negative
bug parasite,1,negative
bug penalty,1,negative
bug plague,1,negative
bug racism,1,negative
bug refused,1,negative
bug ridiculous,1,negative
bug rip,1,negative
bug rotten,1,negative
bug ruin,1,negative
bug shockingly,1,negative
bug sickness,1,negative
bug spoiled,1,negative
bug stress,1,negative
bug struck,1,negative
bug stupidly,1,negative
bug stuttering,1,negative
bug sucks,1,negative
bug tediously,1,negative
bug terribly,1,negative
bug threat,1,negative
bug trapped,1,negative
bug troubles,1,negative
bug unacceptable,1,negative
bug unfortunate,1,negative
bug unresolved,1,negative
bug useless,1,negative
bug warning,1,negative
bug worst,1,negative
bug zapped,1,negative
bugging bad,1,negative
bugging splatter,1,negative
buggy abomination,1,negative
buggy absurdly,1,negative
buggy annoyingly,1,negative
buggy antiquated,1,negative
buggy atrocious,1,negative
buggy attack,1,negative
buggy blatantly,1,negative
buggy blurry,1,negative
buggy bothersome,1,negative
buggy breaks,1,negative
buggy bs,1,negative
buggy cheaply,1,negative
buggy cheater,1,negative
buggy cheating,1,negative
buggy cheesy,1,negative
buggy clumsy,1,negative
buggy crippled,1,negative
buggy crummy,1,negative
buggy cumbersome,1,negative
buggy dead,1,negative
buggy death,1,negative
buggy delay,1,negative
buggy died,1,negative
buggy difficulty,1,negative
buggy disappointment,1,negative
buggy discordant,1,negative
buggy disgusting,1,negative
buggy dungeons,1,negative
buggy error,1,negative
buggy errors,1,negative
buggy fallout,1,negative
buggy falsely,1,negative
buggy fatal,1,negative
buggy flakey,1,negative
buggy flaws,1,negative
buggy freeze,1,negative
