bigram,n,total_sentiment
pure waste,52,negative
slow repetitive,52,negative
terrible boring,52,negative
useless junk,52,negative
agonizingly slow,51,negative
boring buggy,51,negative
convoluted mess,51,negative
enemy kills,51,negative
enjoy killing,51,negative
horrible excuse,51,negative
incredibly bored,51,negative
offensively bad,51,negative
proven wrong,51,negative
rampant cheating,51,negative
randomly crashing,51,negative
sadly lacking,51,negative
sadly mistaken,51,negative
terribly broken,51,negative
tough enemies,51,negative
wildly inconsistent,51,negative
annoying repetitive,50,negative
boring crap,50,negative
bug infested,50,negative
chaotic mess,50,negative
enemy dies,50,negative
fairly shallow,50,negative
incredibly simplistic,50,negative
insanely frustrating,50,negative
instantly killing,50,negative
needlessly complex,50,negative
pretty intense,50,negative
slowly die,50,negative
stupid enemies,50,negative
stupid plot,50,negative
super weak,50,negative
terrible mess,50,negative
terrible mistake,50,negative
utterly frustrating,50,negative
bugs terrible,49,negative
cheap cons,49,negative
damn bugs,49,negative
defeat enemies,49,negative
dumb dumb,49,negative
enemies attacks,49,negative
freaking hard,49,negative
frustratingly bad,49,negative
insanely repetitive,49,negative
lag bugs,49,negative
repetitive repetitive,49,negative
severe issues,49,negative
sneak attack,49,negative
tedious slog,49,negative
utterly disappointing,49,negative
wrong wrong,49,negative
bland repetitive,48,negative
bloody mess,48,negative
damn awful,48,negative
decent damage,48,negative
fairly dull,48,negative
fairly weak,48,negative
glory kill,48,negative
kill enemy,48,negative
pros funny,48,negative
sick joke,48,negative
trust overkill,48,negative
bad enemy,47,negative
bad rip,47,negative
broken garbage,47,negative
brutal difficulty,47,negative
brutal doom,47,negative
insanely slow,47,negative
painfully dull,47,negative
punch punch,47,negative
super confusing,47,negative
terribly buggy,47,negative
bad horrible,46,negative
blurry mess,46,negative
breaking bad,46,negative
bugs issues,46,negative
bugs lag,46,negative
crash error,46,negative
easy kills,46,negative
enjoy wasting,46,negative
fairly disappointed,46,negative
horrible bad,46,negative
instantly lose,46,negative
lame excuse,46,negative
prison break,46,negative
ridiculous difficulty,46,negative
worst enemies,46,negative
annoying glitch,45,negative
bitterly disappointed,45,negative
cheap trick,45,negative
die randomly,45,negative
easy boring,45,negative
freeze crash,45,negative
funny bad,45,negative
horrible mistake,45,negative
incredibly dumb,45,negative
pretty sick,45,negative
pretty steep,45,negative
refund limit,45,negative
strong enemies,45,negative
terrible bad,45,negative
clunky boring,44,negative
crashes bad,44,negative
damn expensive,44,negative
horrendously bad,44,negative
incredibly irritating,44,negative
incredibly lacking,44,negative
issues crashes,44,negative
pointless grind,44,negative
steep difficulty,44,negative
anger issues,43,negative
bad cons,43,negative
blatant disregard,43,negative
boring ugly,43,negative
cons crashes,43,negative
decent cons,43,negative
ding ding,43,negative
issue lies,43,negative
nightmare difficulty,43,negative
shallow repetitive,43,negative
support cons,43,negative
ugly boring,43,negative
weird glitches,43,negative
attack damage,42,negative
broken crap,42,negative
cons broken,42,negative
cons slow,42,negative
crash issue,42,negative
enemies randomly,42,negative
fail fail,42,negative
fails hard,42,negative
fairly buggy,42,negative
freaking bad,42,negative
freaking boring,42,negative
incredibly frustrated,42,negative
incredibly slowly,42,negative
painfully repetitive,42,negative
painfully slowly,42,negative
pretty lazy,42,negative
pretty lousy,42,negative
recommend fallout,42,negative
terribly disappointed,42,negative
unbelievably boring,42,negative
annoyingly difficult,41,negative
annoyingly hard,41,negative
enemies enemies,41,negative
enemies lack,41,negative
glitch bug,41,negative
glitches glitches,41,negative
hard hard,41,negative
horrible boring,41,negative
incredibly unstable,41,negative
lazy lazy,41,negative
lies lies,41,negative
utterly failed,41,negative
weird bug,41,negative
worst sin,41,negative
bad enemies,40,negative
bad worse,40,negative
boring lack,40,negative
boring poorly,40,negative
breaking crashes,40,negative
bugs lags,40,negative
cold hard,40,negative
consistently crashes,40,negative
crazy hard,40,negative
disgustingly bad,40,negative
easier difficulty,40,negative
enemy damage,40,negative
horrible buggy,40,negative
incredibly confusing,40,negative
lags lags,40,negative
realistic damage,40,negative
stupid mistake,40,negative
stuttering mess,40,negative
terribly annoying,40,negative
attack attack,39,negative
bad ripoff,39,negative
bugs broken,39,negative
bugs lack,39,negative
cons hard,39,negative
crashing bug,39,negative
enemies cons,39,negative
fairly annoying,39,negative
free kill,39,negative
insane lag,39,negative
kill death,39,negative
magic attack,39,negative
overkill ruined,39,negative
painfully mediocre,39,negative
slow unresponsive,39,negative
sucks waste,39,negative
sucks worse,39,negative
super bored,39,negative
super stupid,39,negative
terrible awful,39,negative
utterly worthless,39,negative
weird glitch,39,negative
win trash,39,negative
boring terrible,38,negative
buggy poor,38,negative
buggy slow,38,negative
bugs errors,38,negative
bugs horrible,38,negative
bugs ruin,38,negative
enjoy dying,38,negative
enjoyed fallout,38,negative
failing miserably,38,negative
leak issue,38,negative
loot loot,38,negative
pretty disapointed,38,negative
pretty scary,38,negative
suck hard,38,negative
sucks badly,38,negative
super tedious,38,negative
terrible buggy,38,negative
terrible enemy,38,negative
utterly awful,38,negative
awful mess,37,negative
bad stuttering,37,negative
blatant ripoff,37,negative
bonus damage,37,negative
boring clunky,37,negative
boring stupid,37,negative
cons limited,37,negative
cons poorly,37,negative
crashes glitches,37,negative
critical damage,37,negative
cruel joke,37,negative
damn buggy,37,negative
damn frustrating,37,negative
fairly challenging,37,negative
fallout fallout,37,negative
fast enemies,37,negative
frustrating grind,37,negative
fun hack,37,negative
insanely annoying,37,negative
legendary enemies,37,negative
love hard,37,negative
needlessly frustrating,37,negative
survival zombie,37,negative
annoyingly slow,36,negative
bad loot,36,negative
blatant lies,36,negative
boring enemy,36,negative
breaks loose,36,negative
critical flaw,36,negative
decisive strike,36,negative
doom doom,36,negative
enemies boring,36,negative
frustrating chore,36,negative
fun zombie,36,negative
incomplete mess,36,negative
irritating bugs,36,negative
lame lame,36,negative
limited enemy,36,negative
monotonous grind,36,negative
pretty annoyed,36,negative
pretty mad,36,negative
pretty strange,36,negative
slow death,36,negative
slow laggy,36,negative
unfinished broken,36,negative
utterly dissapointed,36,negative
wreak havoc,36,negative
annoying issue,35,negative
awesome cons,35,negative
boring shallow,35,negative
clunky buggy,35,negative
clunky poorly,35,negative
dead enemy,35,negative
difficulty enemies,35,negative
fun waste,35,negative
incredibly expensive,35,negative
killed enemies,35,negative
pretty messed,35,negative
pure evil,35,negative
slow sluggish,35,negative
support bad,35,negative
terrible horrible,35,negative
toxic waste,35,negative
amazing sadly,34,negative
annoying enemy,34,negative
awful boring,34,negative
awful terrible,34,negative
bitter disappointment,34,negative
bug crash,34,negative
buggy crap,34,negative
cliche plot,34,negative
critical issues,34,negative
damn repetitive,34,negative
death threats,34,negative
easy kill,34,negative
failed hard,34,negative
fairly simplistic,34,negative
fun distraction,34,negative
hell breaks,34,negative
incredibly mediocre,34,negative
insanely expensive,34,negative
issues poor,34,negative
magic damage,34,negative
nice plot,34,negative
overkill broke,34,negative
overkill lied,34,negative
pretty impossible,34,negative
pretty toxic,34,negative
sadly falls,34,negative
stupid enemy,34,negative
tediously slow,34,negative
terribly difficult,34,negative
unfinished garbage,34,negative
attack enemy,33,negative
bloody annoying,33,negative
boring lame,33,negative
boring loot,33,negative
buggy terrible,33,negative
challenging enemies,33,negative
damage resistance,33,negative
elite enemies,33,negative
fairly hard,33,negative
free kills,33,negative
freezes randomly,33,negative
glitches bad,33,negative
horrible grind,33,negative
impending doom,33,negative
impossible difficulty,33,negative
incredibly dissapointed,33,negative
insanely stupid,33,negative
issues bad,33,negative
kill monster,33,negative
love zombie,33,negative
