appid,name,release_date,developer,publisher,free_to_play,virtual_reality_support,controller_support,steam_workshop,singleplayer,multiplayer,is_open_world,is_rogue_like,is_metroidvania,is_visual_novel,has_great_soundtrack,is_shooter,is_rpg,has_female_protagonist,is_sports,windows_support,mac_support,linux_support,required_age,categories,genres,steamspy_tags,achievements,general_rating,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,total_reviews
33230,Assassin's Creed 2 Deluxe Edition,2010-03-04,Ubisoft Montreal,Ubisoft,FALSE,FALSE,No,FALSE,TRUE,No multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player,Action;Adventure,Action;Open World;Adventure,0,Positive,14861,2639,1046,1323,1M to 2M,8.59,17500
307690,Sleeping Dogs: Definitive Edition,2014-10-08,United Front Games;Feral Interactive (Mac),SQUARE ENIX;Feral Interactive (Mac),FALSE,FALSE,Full,FALSE,TRUE,No multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,18,Single-player;Steam Achievements;Full controller support;Steam Leaderboards,Action;Adventure;Racing,Open World;Action;Martial Arts,59,Positive,15529,1904,636,602,1M to 2M,19.99,17433
17390,SPORE™,2008-12-19,Maxis™,Electronic Arts,FALSE,FALSE,No,FALSE,TRUE,No multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player,Simulation,Simulation;Sandbox;Open World,0,Positive,15101,2014,1142,764,2M to 5M,14.99,17115
110800,L.A. Noire,2011-11-08,Team Bondi;Rockstar Leeds,Rockstar Games,FALSE,FALSE,No,FALSE,TRUE,No multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,18,Single-player;Steam Achievements;Partial Controller Support,Adventure;Strategy,Detective;Crime;Open World,60,Positive,14096,2315,428,478,1M to 2M,19.99,16411
582660,Black Desert Online,2017-05-24,Pearl Abyss,Kakao Games Europe B.V.,FALSE,FALSE,No,FALSE,FALSE,Online + Co-op,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Online Multi-Player;MMO;Online Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support,Action;Adventure;Massively Multiplayer;RPG;Simulation;Strategy,Massively Multiplayer;MMORPG;Open World,0,Mostly Positive,10337,5759,15507,3322,1M to 2M,7.99,16096
22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition,2009-06-16,Bethesda Game Studios,Bethesda Softworks,FALSE,FALSE,No,FALSE,TRUE,No multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player;Steam Cloud,RPG,Open World;RPG;Fantasy,0,Positive,13827,826,1307,630,1M to 2M,12.99,14653
367500,Dragon's Dogma: Dark Arisen,2016-01-15,Capcom,Capcom,FALSE,FALSE,Full,FALSE,TRUE,No multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;RPG,RPG;Open World;Character Customization,59,Positive,12856,1688,1355,1137,1M to 2M,23.99,14544
47870,Need For Speed: Hot Pursuit,2010-12-14,Criterion Games,Electronic Arts,FALSE,FALSE,No,FALSE,TRUE,Multiplayer (Unspecified),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player;Multi-player,Racing,Racing;Multiplayer;Open World,0,Positive,11405,2775,467,415,1M to 2M,14.99,14180
241560,The Crew™,2014-12-19,Ivory Tower in collaboration with Ubisoft Reflections,Ubisoft,FALSE,FALSE,No,FALSE,TRUE,Online only,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player;Multi-player;MMO;In-App Purchases;Partial Controller Support,Action;Massively Multiplayer;Racing,Racing;Open World;Multiplayer,0,Mostly Positive,9479,4636,657,725,200k to 500k,25.99,14115
344760,Reign Of Kings,2015-12-15,Code}{atch,Code}{atch,FALSE,FALSE,No,FALSE,FALSE,Multiplayer (Unspecified),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Multi-player,Action;Adventure;Indie;RPG;Simulation,Survival;Open World;Medieval,0,Mostly Positive,8076,5997,3498,3322,200k to 500k,7.19,14073
